Region,2011,2016
Australia,13.3,15.1
  New South Wales,14.1,16
    Greater Sydney,16.9,19.2
    Rest of NSW,9.1,10.3
  Victoria,14.7,16.5
    Greater Melbourne,16.6,18.5
    Rest of Vic.,9.1,10.2
  Queensland,11.7,13
    Greater Brisbane,14.5,15.9
    Rest of Qld,9.2,10.3
  South Australia,11.6,13
    Greater Adelaide,13.2,14.8
    Rest of SA,6.4,7.1
  Western Australia,13,14.8
    Greater Perth,14.4,16.4
    Rest of WA,8.1,8.8
  Tasmania,10.3,11.2
    Greater Hobart,13.2,14.1
    Rest of Tas.,8.2,8.9
  Northern Territory,10.4,11.7
    Greater Darwin,12.1,13.9
    Rest of NT,8,8.1
